,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
102,J. Crawford | G. Davis | J. Farmar | S. Hawes | H. Türkoğlu,LAC,2014-15,10,58.0,112,113,93.2,+4.7,-0.2,+.059,+2.8,+3.0,+.049,+.076,-1.6,-6.9,+.143,+10.7
103,K. Garnett | K. Martin | N. Peković | R. Rubio | A. Wiggins,MIN,2014-15,4,49.3,99,95,94.5,+8.8,+9.7,+.053,-5.4,-12.0,-.067,+.020,-1.5,+3.3,-.182,+10.7
104,P. Antić | K. Bazemore | D. Carroll | P. Millsap | D. Schröder,ATL,2014-15,17,51.3,93,96,88.5,+5.4,+15.4,-.015,+3.5,+9.2,-.004,-0.004,-3.7,-4.6,+.007,+10.6
105,A. Bradley | J. Green | R. Rondo | J. Sullinger | T. Zeller,BOS,2014-15,16,144.4,292,296,97.7,+5.7,-3.2,+.078,+2.5,+2.0,+.082,+.093,-3.6,-3.9,-.038,+10.3
106,E. Fournier | C. Frye | V. Oladipo | E. Payton | N. Vučević,ORL,2014-15,12,55.1,108,109,94.5,+4.1,+4.4,+.023,+1.0,-1.6,+.067,+.026,+1.1,-1.6,+.106,+10.2
107,P. Antić | K. Bazemore | A. Horford | K. Korver | D. Schröder,ATL,2014-15,16,58.6,118,117,96.3,+2.2,-11.0,+.075,+5.8,+2.3,+.157,+.116,-0.2,+6.6,-.199,+10.2
0,D. DeRozan | A. Johnson | J. Johnson | K. Lowry | J. Valančiūnas,TOR,2014-15,12,85.4,163,167,92.7,+6.9,+0.3,+.079,-2.9,-11.0,+.019,+.062,-0.9,-6.2,+.183,+10.1
1,P. Antić | D. Carroll | K. Korver | P. Millsap | J. Teague,ATL,2014-15,29,119.7,252,243,99.2,+1.9,+7.2,-.018,+2.0,+7.5,-.034,-0.012,+4.1,+8.3,-.062,+10.0
2,K. Martin | N. Peković | R. Rubio | A. Wiggins | T. Young,MIN,2014-15,8,124.9,251,245,95.3,+2.2,+0.3,+.024,-1.8,-5.7,+.025,+.014,+7.3,+8.8,+.004,+10.0
3,T. Booker | D. Exum | D. Favors | G. Hayward | J. Ingles,UTA,2014-15,21,52.6,96,99,88.9,+5.5,+5.7,+.029,+6.5,+9.0,+.102,+.063,-7.5,-6.3,-.094,+9.9
4,J. Crawford | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,2014-15,44,243.4,477,473,93.7,-0.3,-3.9,+.018,+0.5,-0.2,+.026,+.024,+9.9,+10.3,+.057,+9.8
5,D. Exum | D. Favors | R. Gobert | G. Hayward | R. Hood,UTA,2014-15,16,160.7,284,289,85.6,+2.8,-0.5,+.032,+1.5,+3.2,+.017,+.041,+2.6,+3.4,+.024,+9.8
6,T. Allen | M. Gasol | C. Lee | Z. Randolph | B. Udrih,MEM,2014-15,22,89.2,174,177,94.4,+3.5,-3.0,+.054,-5.6,-10.5,-.061,+.024,+8.2,+8.3,+.119,+9.7
7,M. Gortat | N. Hilário | O. Porter | G. Temple | J. Wall,WAS,2014-15,5,48.2,94,94,93.5,+7.4,+4.3,+.063,-4.3,-8.5,-.047,+.037,-1.1,0.0,-.056,+9.6
8,T. Black | J. Clarkson | W. Ellington | J. Hill | W. Johnson,LAL,2014-15,7,132.2,248,249,90.3,+5.4,+11.6,+.005,+1.2,-4.7,+.118,+.007,-2.4,-5.6,+.097,+9.6
9,G. Antetokounmpo | M. Carter-Williams | E. İlyasova | K. Middleton | Z. Pachulia,MIL,2014-15,24,343.2,676,680,94.8,+5.1,+7.1,+.021,-2.6,-10.3,+.078,+.001,+1.6,+1.2,+.032,+9.2
10,S. Adams | E. Kanter | A. Roberson | D. Waiters | R. Westbrook,OKC,2014-15,9,104.6,199,202,92.1,+2.7,+9.4,-.019,-3.4,-8.1,-.025,-0.042,+7.2,+17.3,-.240,+9.2
11,A. Brooks | J. Butler | M. Dunleavy | P. Gasol | T. Gibson,CHI,2014-15,20,98.4,189,186,91.5,+1.5,-5.2,+.042,+1.5,-1.9,+.119,+.053,+4.5,+7.6,-.061,+8.9
12,G. Henderson | A. Jefferson | M. Kidd-Gilchrist | B. Roberts | C. Zeller,CHO,2014-15,7,83.8,159,159,91.1,+5.0,+5.7,+.028,-4.4,-11.9,-.006,+.002,+3.1,+1.3,+.097,+8.8
13,E. Bledsoe | G. Dragić | A. Len | M. Morris | M. Morris,PHO,2014-15,17,62.0,123,130,97.9,+7.1,+12.8,+.011,+1.9,+6.7,-.001,+.017,-7.7,-8.9,-.043,+8.4
14,G. Green | M. Morris | M. Plumlee | I. Thomas | P. Tucker,PHO,2014-15,13,48.5,95,95,94.0,0.0,+7.4,-.034,+5.3,+5.3,+.095,-0.010,+3.2,-3.2,+.238,+8.4
15,L. Aldridge | N. Batum | D. Lillard | W. Matthews | T. Robinson,POR,2014-15,7,56.7,120,117,100.3,+0.7,+7.9,-.032,+4.1,+10.4,+.049,-0.012,+2.9,+7.8,-.092,+8.4
16,W. Chandler | K. Faried | R. Foye | D. Gallinari | T. Lawson,DEN,2014-15,16,266.5,538,535,96.6,+0.5,+3.4,-.014,+3.7,+6.4,+.036,+.005,+3.6,+2.3,+.088,+8.3
17,J. Butler | P. Gasol | T. Gibson | K. Hinrich | D. Rose,CHI,2014-15,20,131.4,257,259,94.2,-0.1,-8.2,+.040,+2.4,-2.9,+.174,+.057,+6.0,+6.8,+.038,+8.2
18,A. Afflalo | K. Faried | D. Gallinari | T. Lawson | T. Mozgov,DEN,2014-15,8,54.3,98,102,88.4,+2.6,+2.6,+.016,-0.8,-2.3,-.013,+.011,+3.7,+4.9,+.006,+8.0
19,D. Carroll | A. Horford | K. Korver | P. Millsap | J. Teague,ATL,2014-15,57,913.6,1816,1793,94.8,+1.9,-2.5,+.035,+3.1,+2.5,+.088,+.054,+1.1,+0.3,+.043,+8.0
20,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,A. Horford | K. Korver | P. Millsap | T. Sefolosha | J. Teague,ATL,2014-15,19,86.8,165,165,91.2,+2.4,-3.0,+.044,+0.6,+1.2,+.002,+.049,+2.4,-1.8,+.212,+7.9
