,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Season,pid
116,24,OKC,NBA,C,77,1055,19.3,.608,.000,.286,12.1,20.0,15.9,5.9,2.9,7.7,13.4,13.8,,1.9,2.5,4.3,.198,,-1.2,3.3,2.1,1.1,2018-19,203457
117,25,OKC,NBA,C,61,1127,20.4,.711,.011,.394,9.2,19.9,14.7,7.6,2.5,6.9,17.3,14.9,,2.6,2.3,4.9,.209,,-0.3,3.4,3.1,1.5,2019-20,203457
118,26,NYK,NBA,C,39,872,14.7,.640,.015,.290,10.3,18.5,14.4,4.0,2.2,8.7,22.5,9.7,,0.7,1.9,2.6,.145,,-2.6,3.2,0.6,0.6,2020-21,203457
119,,,NBA,,400,8849,17.1,.573,.004,.352,9.4,21.4,15.2,8.2,2.8,5.5,16.7,15.9,,7.7,16.5,24.2,.131,,-1.6,2.5,0.9,6.4,Career,203457
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203457
121,,PHI,NBA,,171,4840,16.2,.532,.002,.367,8.3,21.3,14.6,10.0,3.0,4.4,16.8,17.8,,1.2,8.0,9.2,.091,,-1.9,2.0,0.1,2.6,3 seasons,203457
122,,OKC,NBA,,138,2182,19.9,.660,.006,.339,10.6,20.0,15.3,6.8,2.7,7.3,15.4,14.4,,4.5,4.8,9.3,.204,,-0.7,3.3,2.6,2.6,2 seasons,203457
123,,DAL,NBA,,52,955,18.0,.585,.004,.318,10.8,27.6,18.9,6.7,2.8,4.3,15.0,15.6,,1.3,1.8,3.1,.157,,-1.2,2.2,1.0,0.7,2 seasons,203457
124,,NYK,NBA,,39,872,14.7,.640,.015,.290,10.3,18.5,14.4,4.0,2.2,8.7,22.5,9.7,,0.7,1.9,2.6,.145,,-2.6,3.2,0.6,0.6,1 season,203457
125,27,UTA,NBA,SG,47,924,7.9,.450,.378,.361,3.5,15.2,9.4,9.7,3.2,1.4,19.5,17.0,,-1.0,1.4,0.4,.020,,-5.1,2.1,-3.1,-0.3,2014-15,202407
126,28,UTA,NBA,SG,20,173,6.5,.384,.308,.462,4.1,19.5,11.8,16.2,2.1,1.5,16.1,14.9,,-0.2,0.3,0.1,.033,,-5.9,2.1,-3.8,-0.1,2015-16,202407
127,29,PHO,NBA,SG,2,23,-3.4,.190,.286,.286,13.8,14.6,14.2,5.6,0.0,0.0,20.2,18.0,,-0.1,0.0,-0.1,-0.233,,-12.0,-7.0,-19.0,-0.1,2016-17,202407
128,,,NBA,,69,1120,7.4,.434,.366,.373,3.8,15.8,9.9,10.6,3.0,1.4,19.1,16.7,,-1.3,1.6,0.4,.016,,-5.4,1.9,-3.5,-0.4,Career,202407
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202407
