,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jay Williams,SO,2000-01,G,Duke,ACC,39,1240,285,603,.473,153,294,132,309,.427,139,211,.659,31,97,128,237,78,5,154,87,841
1,Ronnie McCollum,SR,2000-01,G,Centenary (LA),Ind,27,,244,592,.412,159,340,85,252,.337,214,236,.907,,,101,32,27,1,,,787
2,Rashad Phillips,SR,2000-01,G,Detroit Mercy,MW Coll,35,,232,535,.434,96,207,136,328,.415,185,202,.916,17,71,88,145,35,0,122,51,785
3,Shane Battier,SR,2000-01,F,Duke,ACC,39,1363,251,533,.471,127,237,124,296,.419,152,191,.796,94,191,285,72,82,88,60,80,778
4,Kyle Hill,SR,2000-01,G,Eastern Illinois,OVC,31,1042,250,529,.473,164,330,86,199,.432,151,180,.839,48,103,151,125,46,23,89,57,737
5,Brandon Wolfram,SR,2000-01,F,Texas-El Paso,WAC,32,1061,251,425,.591,245,407,6,18,.333,206,250,.824,69,173,242,29,17,13,97,76,714
6,Henry Domercant,SO,2000-01,G,Eastern Illinois,OVC,31,1017,256,519,.493,177,340,79,179,.441,115,141,.816,60,151,211,66,35,20,75,56,706
7,Marvin O'Connor,JR,2000-01,G,Saint Joseph's,A-10,32,1072,240,516,.465,141,251,99,265,.374,127,188,.676,37,82,119,82,36,1,74,67,706
8,Tarvis Williams,SR,2000-01,F,Hampton,MEAC,32,,259,487,.532,259,487,0,0,,184,253,.727,83,137,220,32,16,147,79,77,702
9,Trenton Hassell,SR,2000-01,F,Austin Peay,OVC,32,1213,246,507,.485,193,371,53,136,.390,148,186,.796,82,167,249,144,39,15,121,67,693
10,Joseph Forte,SO,2000-01,G,North Carolina,ACC,33,1145,251,558,.450,196,412,55,146,.377,133,156,.853,41,160,201,116,67,12,84,60,690
11,Tarise Bryson,SR,2000-01,G,Illinois State,MVC,30,1035,208,447,.465,146,273,62,174,.356,207,252,.821,28,90,118,72,56,13,85,64,685
12,Brandon Armstrong,JR,2000-01,G,Pepperdine,WCC,31,1027,240,537,.447,164,339,76,198,.384,128,155,.826,36,65,101,46,46,6,65,85,684
13,Lynn Greer,JR,2000-01,G,Temple,A-10,37,1465,215,536,.401,134,322,81,214,.379,164,189,.868,34,98,132,202,75,4,80,76,675
14,Preston Shumpert,JR,2000-01,F,Syracuse,Big East,34,1260,225,515,.437,145,308,80,207,.386,132,173,.763,70,130,200,56,65,20,59,71,662
15,Demond Mallet,SR,2000-01,G,McNeese State,Southland,31,,216,501,.431,109,226,107,275,.389,121,152,.796,21,82,103,67,66,5,56,66,660
16,Juan Dixon,JR,2000-01,G,Maryland,ACC,36,1098,232,480,.483,170,329,62,151,.411,128,148,.865,46,107,153,93,95,8,86,75,654
17,Troy Murphy,JR,2000-01,F,Notre Dame,Big East,30,1090,223,473,.471,193,387,30,86,.349,177,231,.766,94,183,277,62,27,50,90,96,653
18,Troy Bell,SO,2000-01,G,Boston College,Big East,32,1095,186,405,.459,116,226,70,179,.391,210,245,.857,66,72,138,133,83,13,73,73,652
19,Brian Heinle,SR,2000-01,C,Cal State Northridge,Big Sky,32,,229,458,.500,177,337,52,121,.430,136,207,.657,65,228,293,124,47,24,104,82,646
20,Michael Bradley,JR,2000-01,C,Villanova,Big East,31,1053,254,367,.692,242,333,12,34,.353,125,212,.590,107,196,303,81,28,56,88,89,645
21,Joe Crispin,SR,2000-01,G,Penn State,Big Ten,33,1121,195,523,.373,87,220,108,303,.356,144,165,.873,15,103,118,110,47,5,96,68,642
22,Rasual Butler,JR,2000-01,F,La Salle,A-10,29,1114,231,574,.402,134,302,97,272,.357,82,97,.845,51,85,136,57,34,20,93,67,641
23,Dewayne Jefferson,SR,2000-01,G,Mississippi Valley State,SWAC,27,,216,500,.432,109,215,107,285,.375,98,121,.810,66,107,173,78,38,6,72,52,637
24,Kirk Haston,JR,2000-01,C,Indiana,Big Ten,33,1018,243,552,.440,217,483,26,69,.377,114,166,.687,80,208,288,41,36,40,79,93,626
25,Isaac Spencer,SR,2000-01,F,Murray State,OVC,29,1030,225,461,.488,219,425,6,36,.167,170,241,.705,84,122,206,112,35,20,152,81,626
26,Tierre Brown,SR,2000-01,G,McNeese State,Southland,31,1064,213,518,.411,162,366,51,152,.336,146,184,.793,64,113,177,111,57,5,98,62,623
27,Carlos Arroyo,SR,2000-01,G,Florida International,Sun Belt,29,1113,215,499,.431,163,323,52,176,.295,134,180,.744,24,76,100,117,51,6,107,75,616
28,Casey Jacobsen,SO,2000-01,G,Stanford,Pac-10,34,1079,203,400,.508,119,222,84,178,.472,126,155,.813,28,108,136,78,18,3,65,38,616
29,Rod Grizzard,SO,2000-01,G,Alabama,SEC,36,1146,197,495,.398,127,281,70,214,.327,147,181,.812,61,159,220,75,40,38,91,93,611
30,Casey Calvary,SR,2000-01,F,Gonzaga,WCC,32,,226,412,.549,197,343,29,69,.420,127,210,.605,56,157,213,54,17,47,73,71,608
31,Sean Lampley,SR,2000-01,F,University of California,Pac-10,31,1073,209,416,.502,202,383,7,33,.212,180,244,.738,46,178,224,102,29,14,112,79,605
32,Greg Stempin,SR,2000-01,F,Toledo,MAC,33,1180,216,457,.473,169,300,47,157,.299,125,211,.592,91,181,272,64,34,20,69,92,604
33,Mike Wilks,SR,2000-01,G,Rice,WAC,30,1114,190,434,.438,134,289,56,145,.386,168,215,.781,45,102,147,90,59,8,76,81,604
34,Ramel Lloyd,SR,2000-01,G,Cal State Long Beach,Big West,31,,215,482,.446,168,332,47,150,.313,123,192,.641,55,63,118,62,30,2,94,86,600
35,Steve Logan,JR,2000-01,G,Cincinnati,CUSA,34,1110,193,456,.423,114,254,79,202,.391,132,150,.880,12,69,81,79,30,2,53,77,597
36,Maurice Baker,JR,2000-01,G,Oklahoma State,Big 12,30,1121,200,381,.525,136,224,64,157,.408,129,160,.806,74,128,202,127,61,4,125,71,593
37,Rahsaan Johnson,JR,2000-01,G,Monmouth,NEC,31,,191,474,.403,122,272,69,202,.342,142,185,.768,23,167,190,178,64,7,136,65,593
38,Shernard Long,SR,2000-01,G,Georgia State,TAAC,33,,209,461,.453,154,309,55,152,.362,120,167,.719,46,110,156,90,83,37,84,91,593
39,Will Solomon,JR,2000-01,G,Clemson,ACC,30,998,183,461,.397,88,209,95,252,.377,130,165,.788,17,69,86,102,42,9,123,71,591
40,Sam Clancy,JR,2000-01,F,Southern California,Pac-10,34,1129,219,437,.501,218,436,1,1,1.000,149,226,.659,79,176,255,35,37,81,81,94,588
41,Steven Howard,SR,2000-01,G,St. Francis (NY),NEC,29,,171,447,.383,79,193,92,254,.362,153,179,.855,41,76,117,64,36,3,94,91,587
42,Altron Jackson,JR,2000-01,F,South Florida,CUSA,31,950,231,477,.484,199,374,32,103,.311,93,138,.674,52,100,152,60,44,6,43,67,587
43,Kevin Houston,SR,2000-01,F,St. Bonaventure,A-10,30,996,186,443,.420,111,231,75,212,.354,139,171,.813,75,133,208,21,36,4,60,70,586
44,Gilbert Arenas,SO,2000-01,G,Arizona,Pac-10,36,1044,208,434,.479,139,268,69,166,.416,97,134,.724,29,102,131,84,65,7,101,82,582
45,Chris Monroe,SO,2000-01,G,George Washington,A-10,31,1005,176,420,.419,117,263,59,157,.376,170,214,.794,85,105,190,84,31,11,85,94,581
46,Keith Bogans,SO,2000-01,G,Kentucky,SEC,34,1050,210,444,.473,136,239,74,205,.361,83,119,.697,65,93,158,80,34,8,89,76,577
47,Theo Dixon,JR,2000-01,F,Cleveland State,MW Coll,32,1071,192,474,.405,122,290,70,184,.380,123,155,.794,42,110,152,53,37,6,106,81,577
48,Tayshaun Prince,JR,2000-01,F,Kentucky,SEC,34,1117,207,418,.495,143,239,64,179,.358,97,115,.843,56,165,221,99,24,37,58,56,575
49,Jerry Green,JR,2000-01,G,UC-Irvine,Big West,30,,173,382,.453,144,314,29,68,.426,196,235,.834,27,116,143,90,41,10,90,60,571
50,Victor Thomas,SR,2000-01,F,La Salle,A-10,29,1133,199,450,.442,152,307,47,143,.329,126,169,.746,82,115,197,56,31,15,73,58,571
51,Trevor Huffman,JR,2000-01,G,Kent State,MAC,34,1205,164,424,.387,102,249,62,175,.354,180,212,.849,20,79,99,153,38,9,85,61,570
52,Nick Stapleton,SR,2000-01,G,Austin Peay,OVC,32,,207,446,.464,139,260,68,186,.366,88,115,.765,13,45,58,110,26,3,81,43,570
53,Greg Stevenson,SR,2000-01,F,Richmond,CAA,29,1020,215,401,.536,167,302,48,99,.485,92,120,.767,65,158,223,48,40,27,55,54,570
54,Mekeli Wesley,SR,2000-01,F,Brigham Young,MWC,33,987,179,349,.513,147,273,32,76,.421,179,222,.806,52,129,181,45,19,27,78,104,569
55,Monty Mack,SR,2000-01,G,Massachusetts,A-10,29,1051,182,472,.386,87,211,95,261,.364,107,137,.781,17,67,84,55,24,3,54,59,566
56,Wes Burtner,JR,2000-01,F,Belmont,Ind,28,928,175,386,.453,82,146,93,240,.388,119,144,.826,59,84,143,54,13,3,65,71,562
57,Lonny Baxter,JR,2000-01,C,Maryland,ACC,36,935,219,387,.566,218,385,1,2,.500,122,206,.592,101,185,286,19,31,55,56,112,561
58,Michael Wright,JR,2000-01,F,Arizona,Pac-10,36,1004,202,340,.594,202,337,0,3,.000,157,197,.797,119,162,281,11,20,10,63,85,561
59,Damone Brown,SR,2000-01,F,Syracuse,Big East,34,1242,215,437,.492,211,423,4,14,.286,125,158,.791,109,191,300,56,58,48,69,92,559
60,Thomas Terrell,JR,2000-01,F,Georgia State,TAAC,34,,199,445,.447,116,233,83,212,.392,77,97,.794,77,178,255,40,37,36,57,65,558
61,Devin Brown,JR,2000-01,G,Texas-San Antonio,Southland,28,906,186,436,.427,141,279,45,157,.287,139,193,.720,62,150,212,71,47,9,88,87,556
62,Senecca Wall,SR,2000-01,G,Sam Houston State,Southland,29,,171,319,.536,152,266,19,53,.358,194,264,.735,63,126,189,109,103,18,124,95,555
63,Chris Williams,SR,2000-01,F,Navy,Patriot,31,,188,409,.460,169,337,19,72,.264,159,219,.726,58,134,192,76,71,13,120,86,554
64,Fred House,SR,2000-01,F,Southern Utah,Mid-Cont,31,943,193,393,.491,158,307,35,86,.407,132,190,.695,57,127,184,71,93,28,94,82,553
65,George Evans,SR,2000-01,F,George Mason,CAA,30,1056,233,380,.613,233,378,0,2,.000,85,139,.612,81,153,234,56,57,43,68,68,551
66,Jason Kapono,SO,2000-01,F,UCLA,Pac-10,32,1122,167,379,.441,83,195,84,184,.457,133,153,.869,54,129,183,72,38,4,81,82,551
67,Marques Maybin,SR,2000-01,G,Louisville,CUSA,31,947,173,434,.399,108,264,65,170,.382,139,179,.777,39,55,94,59,27,8,81,85,550
68,Kelly Wise,JR,2000-01,F,Memphis,CUSA,36,1107,212,441,.481,212,441,0,0,,126,250,.504,114,249,363,68,39,57,113,106,550
69,Kareem Rush,SO,2000-01,F,Missouri,Big 12,26,796,192,434,.442,123,280,69,154,.448,96,120,.800,58,116,174,51,34,21,87,63,549
70,Ricardo Greer,SR,2000-01,F,Pittsburgh,Big East,33,1123,207,427,.485,173,307,34,120,.283,100,146,.685,79,164,243,93,42,12,87,74,548
71,Predrag Savovic,JR,2000-01,G,Hawaii,WAC,31,1006,189,418,.452,128,247,61,171,.357,106,143,.741,45,102,147,107,39,2,96,106,545
72,Brian Wardle,SR,2000-01,G,Marquette,CUSA,29,1025,175,433,.404,110,263,65,170,.382,129,154,.838,43,63,106,58,17,2,68,77,544
73,Brandon Hunter,SO,2000-01,F,Ohio,MAC,30,988,181,355,.510,178,346,3,9,.333,178,271,.657,81,201,282,80,23,15,117,76,543
74,Tony Stanley,SR,2000-01,G,Dayton,A-10,34,1109,177,462,.383,75,190,102,272,.375,86,117,.735,58,115,173,65,43,12,70,70,542
75,Ledaryl Billingsley,SR,2000-01,F,Tulane,CUSA,30,,196,395,.496,184,356,12,39,.308,137,235,.583,88,187,275,41,36,8,82,110,541
76,Ryan Carroll,SR,2000-01,G,Texas Christian,WAC,31,1064,182,393,.463,106,184,76,209,.364,101,129,.783,64,116,180,81,46,28,41,84,541
77,Richy Dominguez,SR,2000-01,G,St. Francis (NY),NEC,28,,186,365,.510,152,269,34,96,.354,135,193,.699,49,157,206,49,60,8,82,88,541
78,Bernard King,SO,2000-01,G,Texas A&M,Big 12,30,999,168,416,.404,106,220,62,196,.316,142,209,.679,30,85,115,144,44,9,112,95,540
79,Terrell Lyday,SR,2000-01,G,Brigham Young,MWC,33,1082,159,395,.403,99,244,60,151,.397,162,197,.822,20,72,92,66,37,13,76,82,540
80,Mario Porter,JR,2000-01,F,Rider,MAAC,28,,204,387,.527,191,348,13,39,.333,116,157,.739,61,130,191,35,45,16,63,70,537
81,Sirvaliant Brown,SO,2000-01,G,George Washington,A-10,31,966,174,471,.369,124,301,50,170,.294,138,192,.719,25,60,85,55,46,7,74,106,536
82,Jermaine Hall,SO,2000-01,F,Wagner,NEC,29,847,211,359,.588,208,347,3,12,.250,110,153,.719,54,115,169,27,25,34,70,107,535
83,Stan Blackmon,SR,2000-01,F,Little Rock,Sun Belt,29,,182,329,.553,181,317,1,12,.083,169,232,.728,83,120,203,46,40,21,85,74,534
84,Eddie Griffin,FR,2000-01,F,Seton Hall,Big East,30,979,206,480,.429,165,352,41,128,.320,80,109,.734,94,229,323,49,26,133,67,71,533
85,Earl Hunt,SO,2000-01,G,Brown,Ivy,27,,190,390,.487,149,290,41,100,.410,112,145,.772,50,118,168,68,37,8,67,56,533
86,Maurice Evans,JR,2000-01,F,Texas,Big 12,34,1122,181,411,.440,95,190,86,221,.389,84,111,.757,72,107,179,45,44,21,70,101,532
87,Demond Stewart,SR,2000-01,G,Niagara,MAAC,27,,162,418,.388,121,276,41,142,.289,165,234,.705,72,135,207,46,47,19,79,102,530
88,Gyasi Cline-Heard,SR,2000-01,F,Penn State,Big Ten,33,1101,182,363,.501,181,360,1,3,.333,164,223,.735,99,170,269,58,42,51,57,96,529
89,Reggie Evans,JR,2000-01,F,Iowa,Big Ten,35,1220,155,326,.475,154,325,1,1,1.000,218,346,.630,142,274,416,55,31,21,138,108,529
90,Clarence Gilbert,JR,2000-01,G,Missouri,Big 12,32,1073,172,472,.364,70,195,102,277,.368,83,103,.806,19,66,85,112,38,5,71,58,529
91,Kent Williams,SO,2000-01,G,Southern Illinois,MVC,30,1031,160,378,.423,101,225,59,153,.386,150,180,.833,21,53,74,85,21,4,56,71,529
92,Melvin Ely,SR,2000-01,C,Fresno State,WAC,33,1009,208,357,.583,208,357,0,0,,112,167,.671,87,160,247,45,29,90,89,85,528
93,Brendon Rowell,JR,2000-01,G,Elon,Big South,28,,181,353,.513,147,270,34,83,.410,131,183,.716,28,68,96,71,54,1,99,61,527
94,Darius Lane,JR,2000-01,G,Seton Hall,Big East,31,981,177,436,.406,74,175,103,261,.395,68,101,.673,55,95,150,75,52,6,70,68,525
95,Brian Merriweather,SR,2000-01,G,Texas-Rio Grande Valley,Ind,29,,192,442,.434,84,170,108,272,.397,33,39,.846,20,56,76,41,48,4,48,32,525
96,Stephen Starks,SR,2000-01,G,Drexel,AEC,27,,201,411,.489,151,294,50,117,.427,73,97,.753,16,79,95,67,33,4,73,68,525
97,Jeff Monaco,SR,2000-01,G,Southern Utah,Mid-Cont,30,1036,166,367,.452,85,168,81,199,.407,111,128,.867,17,53,70,162,59,3,108,54,524
98,Abe Jackson,JR,2000-01,F,Boise State,Big West,30,998,165,387,.426,82,181,83,206,.403,110,140,.786,36,135,171,47,31,9,58,55,523
99,Matt Renn,SR,2000-01,F,Indiana State,MVC,33,1142,179,340,.526,156,289,23,51,.451,142,208,.683,73,175,248,106,60,6,95,91,523
100,Jason Conley,FR,2001-02,G,Virginia Military Institute,Southern,28,959,285,610,.467,206,373,79,237,.333,171,209,.818,80,144,224,67,82,11,103,52,820
101,Henry Domercant,JR,2001-02,G,Eastern Illinois,OVC,31,1026,262,600,.437,158,331,104,269,.387,189,212,.892,49,174,223,67,36,21,82,68,817
102,Steve Logan,SR,2001-02,G,Cincinnati,CUSA,35,1195,246,538,.457,160,308,86,230,.374,192,220,.873,10,97,107,187,32,0,86,63,770
103,Dajuan Wagner,FR,2001-02,G,Memphis,CUSA,36,1146,265,647,.410,199,439,66,208,.317,166,230,.722,18,71,89,128,43,20,105,101,762
104,Mire Chatman,SR,2001-02,G,Texas-Rio Grande Valley,Ind,29,1026,265,548,.484,200,362,65,186,.349,165,236,.699,36,122,158,112,105,14,110,75,760
105,Keith McLeod,SR,2001-02,G,Bowling Green State,MAC,33,1109,224,496,.452,135,280,89,216,.412,218,270,.807,25,112,137,90,65,2,102,89,755
106,Jay Williams,JR,2001-02,G,Duke,ACC,35,1175,249,545,.457,141,263,108,282,.383,140,207,.676,27,97,124,187,76,3,131,80,746
107,Preston Shumpert,SR,2001-02,F,Syracuse,Big East,36,1329,256,591,.433,168,358,88,233,.378,144,176,.818,69,149,218,83,68,16,92,61,744
108,Nick Stapleton,SR,2001-02,G,Austin Peay,OVC,32,1192,270,602,.449,198,387,72,215,.335,130,176,.739,15,59,74,85,43,3,103,51,742
109,J.R. Bremer,SR,2001-02,G,St. Bonaventure,A-10,30,1140,231,560,.413,143,294,88,266,.331,188,234,.803,40,100,140,92,56,2,91,60,738
110,Juan Dixon,SR,2001-02,G,Maryland,ACC,36,1209,251,535,.469,159,303,92,232,.397,141,157,.898,49,117,166,104,92,7,89,72,735
111,Drew Gooden,JR,2001-02,F,Kansas,Big 12,37,1119,285,566,.504,275,530,10,36,.278,154,204,.755,126,297,423,73,65,53,108,91,734
112,Lynn Greer,SR,2001-02,G,Temple,A-10,31,1232,226,560,.404,131,314,95,246,.386,172,197,.873,19,78,97,130,52,5,104,65,719
113,Dwayne Archbold,SR,2001-02,G,Siena,MAAC,36,1265,231,553,.418,132,294,99,259,.382,154,187,.824,51,208,259,72,33,15,112,110,715
114,Kareem Rush,JR,2001-02,F,Missouri,Big 12,36,1149,249,585,.426,138,311,111,274,.405,103,134,.769,48,140,188,89,39,22,103,76,712
115,Jason Gardner,JR,2001-02,G,Arizona,Pac-10,34,1298,197,463,.425,91,187,106,276,.384,192,240,.800,27,73,100,155,53,0,96,62,692
116,Troy Bell,JR,2001-02,G,Boston College,Big East,32,1199,207,508,.407,142,292,65,216,.301,212,240,.883,57,73,130,123,72,8,97,83,691
117,Caron Butler,SO,2001-02,F,Connecticut,Big East,34,1223,253,521,.486,223,446,30,75,.400,155,199,.779,108,148,256,101,71,13,98,75,691
118,Theron Smith,JR,2001-02,F,Ball State,MAC,35,1156,233,454,.513,188,335,45,119,.378,176,237,.743,120,261,381,48,39,22,93,98,687
119,Reece Gaines,JR,2001-02,G,Louisville,CUSA,32,1049,209,458,.456,118,217,91,241,.378,164,205,.800,25,99,124,114,44,11,70,90,673
120,Dan Dickau,SR,2001-02,G,Gonzaga,WCC,32,1110,195,442,.441,78,186,117,256,.457,165,191,.864,15,80,95,149,26,4,92,61,672
121,Rasual Butler,SR,2001-02,F,La Salle,A-10,32,1252,233,537,.434,176,379,57,158,.361,147,172,.855,75,208,283,44,41,43,84,55,670
122,Casey Jacobsen,JR,2001-02,G,Stanford,Pac-10,30,1058,205,465,.441,141,293,64,172,.372,184,237,.776,45,90,135,106,18,3,73,55,658
123,Chris Davis,JR,2001-02,G,North Texas,Sun Belt,29,957,217,453,.479,171,316,46,137,.336,173,228,.759,72,115,187,74,24,5,84,76,653
124,Melvin Ely,SR,2001-02,C,Fresno State,WAC,28,999,246,437,.563,246,436,0,1,.000,161,219,.735,90,164,254,50,19,88,73,67,653
125,Tommy Adams,SR,2001-02,G,Hampton,MEAC,33,1173,213,504,.423,107,233,106,271,.391,120,154,.779,32,72,104,98,63,4,76,63,652
126,Justin Burdine,SR,2001-02,G,Murray State,OVC,32,979,239,555,.431,140,290,99,265,.374,75,102,.735,32,63,95,79,43,8,101,84,652
127,David Bailey,JR,2001-02,G,Loyola (IL),Horizon,30,937,224,519,.432,170,339,54,180,.300,149,200,.745,43,66,109,138,54,2,118,85,651
128,Jerry Green,SR,2001-02,G,UC-Irvine,Big West,32,1160,212,440,.482,165,312,47,128,.367,180,219,.822,23,101,124,129,47,0,122,50,651
129,Fred Jones,SR,2001-02,G,Oregon,Pac-10,35,1103,215,413,.521,164,276,51,137,.372,169,194,.871,65,124,189,111,63,18,82,94,650
130,Ricky Minard,SO,2001-02,F,Morehead State,OVC,29,1031,227,458,.496,162,291,65,167,.389,127,162,.784,53,148,201,96,73,29,86,91,646
131,Marcus Hatten,JR,2001-02,G,St. John's (NY),Big East,32,1175,212,554,.383,155,351,57,203,.281,163,225,.724,36,132,168,143,105,10,118,85,644
132,Carlos Boozer,JR,2001-02,C,Duke,ACC,35,993,230,346,.665,230,345,0,1,.000,178,236,.754,119,184,303,38,31,21,65,107,638
133,Thomas Terrell,SR,2001-02,F,Georgia State,A-Sun,31,1183,214,475,.451,120,234,94,241,.390,113,143,.790,70,157,227,64,28,29,68,66,635
134,Michael Watson,SO,2001-02,F,Missouri-Kansas City,Mid-Cont,29,1139,221,626,.353,129,350,92,276,.333,101,128,.789,19,72,91,82,54,5,101,49,635
135,Richard Toussaint,JR,2001-02,G,Bethune-Cookman,MEAC,29,971,197,426,.462,195,411,2,15,.133,229,288,.795,64,60,124,21,39,9,93,57,625
136,Kevin Martin,FR,2001-02,G,Western Carolina,Southern,28,913,196,405,.484,123,214,73,191,.382,154,186,.828,27,106,133,43,51,10,74,57,619
137,Altron Jackson,SR,2001-02,F,South Florida,CUSA,32,1096,218,504,.433,160,341,58,163,.356,122,173,.705,83,121,204,83,62,15,60,83,616
138,Sam Clancy,SR,2001-02,F,Southern California,Pac-10,32,1203,236,478,.494,235,476,1,2,.500,138,221,.624,98,204,302,53,56,48,55,99,611
139,Clarence Gilbert,SR,2001-02,G,Missouri,Big 12,36,1187,196,503,.390,78,195,118,308,.383,101,127,.795,25,97,122,114,50,4,73,65,611
140,Jermaine Hall,JR,2001-02,F,Wagner,NEC,29,924,240,400,.600,236,391,4,9,.444,126,166,.759,82,122,204,27,24,36,64,81,610
141,Darius Songaila,SR,2001-02,F,Wake Forest,ACC,34,1036,204,390,.523,198,374,6,16,.375,193,226,.854,76,200,276,89,45,27,119,104,607
142,Anthony Grundy,SR,2001-02,G,North Carolina State,ACC,34,1102,219,451,.486,172,315,47,136,.346,121,158,.766,53,133,186,120,70,5,75,73,606
143,Mike Dunleavy,JR,2001-02,F,Duke,ACC,35,1133,218,451,.483,130,218,88,233,.378,81,119,.681,45,206,251,72,80,26,61,79,605
144,Junior Blount,JR,2001-02,G,Texas Christian,CUSA,31,1030,203,470,.432,120,232,83,238,.349,114,132,.864,8,54,62,131,61,2,76,82,603
145,Desmond Cambridge,SR,2001-02,G,Alabama A&M,SWAC,29,856,175,496,.353,95,232,80,264,.303,170,220,.773,35,70,105,166,160,10,119,81,600
146,Luke Recker,SR,2001-02,G,Iowa,Big Ten,35,1164,200,450,.444,108,227,92,223,.413,108,122,.885,27,92,119,88,56,13,97,86,600
147,Andre Emmett,SO,2001-02,G,Texas Tech,Big 12,32,1048,242,466,.519,233,438,9,28,.321,106,157,.675,78,134,212,48,40,13,61,48,599
148,Leon Rodgers,SR,2001-02,F,Northern Illinois,MAC,28,922,195,384,.508,162,310,33,74,.446,173,217,.797,90,149,239,62,19,17,82,80,596
149,Chris Monroe,JR,2001-02,G,George Washington,A-10,28,987,167,382,.437,112,233,55,149,.369,203,266,.763,58,114,172,66,32,12,92,78,592
150,Brett Blizzard,JR,2001-02,G,North Carolina-Wilmington,CAA,33,1200,196,469,.418,106,239,90,230,.391,109,144,.757,25,107,132,96,70,18,62,47,591
151,Ryan Humphrey,SR,2001-02,F,Notre Dame,Big East,31,1103,231,472,.489,228,466,3,6,.500,122,204,.598,115,222,337,80,33,87,77,83,587
152,David West,JR,2001-02,F,Xavier,A-10,32,1094,196,366,.536,187,338,9,28,.321,185,241,.768,91,222,313,50,38,80,99,85,586
153,Luke Jackson,SO,2001-02,G,Oregon,Pac-10,35,1069,189,413,.458,143,298,46,115,.400,159,184,.864,55,133,188,115,44,12,69,61,583
154,Ricky Cottrill,SO,2001-02,G,Eastern Michigan,MAC,30,1130,186,484,.384,108,261,78,223,.350,132,156,.846,20,64,84,93,29,1,118,75,582
155,Kyle Williams,JR,2001-02,G,Howard,MEAC,31,1049,211,496,.425,147,310,64,186,.344,95,134,.709,27,92,119,79,59,24,88,73,581
156,Tyray Pearson,SR,2001-02,F,Iowa State,Big 12,31,977,209,419,.499,209,419,0,0,,162,218,.743,81,162,243,21,26,33,68,94,580
157,Nick Collison,JR,2001-02,F,Kansas,Big 12,37,990,245,414,.592,242,406,3,8,.375,84,146,.575,124,183,307,64,39,83,93,108,577
158,Casey Frandsen,SO,2001-02,G,Portland,WCC,30,982,183,425,.431,85,182,98,243,.403,113,139,.813,33,49,82,52,31,6,73,83,577
159,Trevor Huffman,SR,2001-02,G,Kent State,MAC,36,1212,188,441,.426,111,245,77,196,.393,124,164,.756,12,93,105,157,45,10,84,80,577
160,Hollis Price,JR,2001-02,G,Oklahoma,Big 12,35,1166,205,451,.455,121,231,84,220,.382,83,99,.838,19,90,109,92,60,2,61,78,577
161,Antonio Gates,JR,2001-02,F,Kent State,MAC,36,1163,225,434,.518,219,410,6,24,.250,120,170,.706,111,180,291,97,43,13,87,104,576
162,Aaron McGhee,SR,2001-02,F,Oklahoma,Big 12,36,1010,203,443,.458,182,378,21,65,.323,148,180,.822,104,174,278,38,21,28,52,95,575
163,Damon Hancock,SR,2001-02,G,Southern Methodist,WAC,26,870,183,428,.428,135,292,48,136,.353,158,239,.661,24,90,114,94,23,0,116,55,572
164,Gary Buchanan,JR,2001-02,G,Villanova,Big East,32,1124,179,422,.424,78,183,101,239,.423,112,123,.911,28,113,141,78,46,11,115,80,571
165,Dwyane Wade,SO,2001-02,G,Marquette,CUSA,32,935,223,458,.487,205,406,18,52,.346,107,155,.690,81,130,211,110,79,36,96,80,571
166,Kent Williams,JR,2001-02,G,Southern Illinois,MVC,36,1129,184,426,.432,116,244,68,182,.374,132,178,.742,15,77,92,109,31,6,55,77,568
167,Rick Apodaca,JR,2001-02,G,Hofstra,CAA,32,1176,189,493,.383,123,269,66,224,.295,123,166,.741,15,98,113,106,37,16,118,68,567
168,Tamar Slay,SR,2001-02,G,Marshall,MAC,30,1031,196,439,.446,116,248,80,191,.419,95,130,.731,38,123,161,72,49,16,89,81,567
169,Paul Haynes,SO,2001-02,F,Grambling,SWAC,28,913,195,410,.476,154,304,41,106,.387,135,171,.789,60,174,234,40,18,4,59,69,566
170,Frank Williams,JR,2001-02,G,Illinois,Big Ten,35,1135,174,443,.393,120,284,54,159,.340,164,203,.808,32,131,163,153,71,10,96,73,566
171,Mario Austin,SO,2001-02,F,Mississippi State,SEC,35,1051,209,375,.557,208,370,1,5,.200,146,222,.658,88,178,266,47,22,25,72,81,565
172,Patrick Jackson,SR,2001-02,G,Ball State,MAC,34,1155,187,415,.451,106,225,81,190,.426,110,137,.803,10,79,89,118,47,3,82,81,565
