,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
23,R. Jackson | T. Maker,DET,2018-19,23,169.0,347,351,99.1,+0.1,-0.4,+.004,+0.1,+4.1,-.038,+.005,+2.2,+3.7,-.023,+2.6,"('jacksre01', 'makerth01')"
24,T. McConnell | M. Scott,PHI,2018-19,27,290.4,586,578,96.2,-0.2,-1.1,+.003,-0.6,-5.7,+.044,.000,+3.7,+3.3,+.051,+2.6,"('mccontj01', 'scottmi01')"
25,N. Batum | T. Parker,CHO,2018-19,53,409.5,842,839,98.5,+0.1,-1.6,+.010,+0.1,-3.7,+.045,+.011,+2.2,+3.7,-.028,+2.5,"('batumni01', 'parketo01')"
26,B. Bogdanović | T. Evans,IND,2018-19,66,673.5,1374,1371,97.8,+1.7,+0.9,+.015,-2.1,-5.7,-.004,+.002,+1.2,0.0,+.055,+2.5,"('bogdabo02', 'evansty01')"
27,J. Hart | J. Williams,LAL,2018-19,12,125.0,260,255,98.9,+0.8,+7.6,-.029,+0.6,+4.0,-.019,-0.031,+0.4,+5.0,-.139,+2.5,"('hartjo01', 'willijo04')"
28,K. Kuzma | I. Zubac,LAL,2018-19,21,267.3,571,565,102.0,+0.4,-6.7,+.040,-2.2,-4.7,-.021,+.032,+3.9,+5.0,+.013,+2.5,"('kuzmaky01', 'zubaciv01')"
29,B. Brown | R. Bullock,DET,2018-19,33,502.7,989,1011,95.5,-0.5,-0.4,-.003,+3.8,+7.4,+.034,+.018,-0.2,-0.2,-.003,+2.5,"('brownbr01', 'bullore01')"
30,M. Harrell | S. Thornwell,LAC,2018-19,51,182.9,377,417,104.2,0.0,-1.0,+.006,-3.0,-9.0,-.011,-0.011,+5.4,+3.7,+.094,+2.5,"('harremo01', 'thornsi01')"
31,B. Caboclo | M. Conley,MEM,2018-19,22,319.6,653,653,98.1,+2.0,+7.7,-.017,-1.5,-0.9,-.038,-0.031,0.0,+1.7,-.052,+2.5,"('cabocbr01', 'conlemi01')"
32,D. Finney-Smith | J. Jackson,DAL,2018-19,23,152.7,315,315,99.0,+3.8,+3.8,+.024,+1.3,+2.2,+.015,+.028,-6.3,-8.9,+.017,+2.5,"('finnedo01', 'jacksju01')"
33,N. Batum | J. Lamb,CHO,2018-19,72,1413.3,2878,2871,97.6,-0.6,+1.1,-.012,+0.4,+1.3,-.001,-0.011,+3.2,+3.0,+.042,+2.4,"('batumni01', 'lambje01')"
34,L. Galloway | G. Robinson,DET,2018-19,32,251.4,500,500,95.5,-1.4,+1.0,-.020,+2.2,+4.8,+.025,-0.009,+3.0,+4.2,-.013,+2.4,"('gallola01', 'robingl02')"
35,A. Burks | D. Exum,UTA,2018-19,16,130.7,284,281,103.7,-2.2,-6.5,+.010,-0.4,-0.3,-.013,+.011,+7.2,+6.4,+.078,+2.4,"('burksal01', 'exumda01')"
36,D. DeRozan | P. Mills,SAS,2018-19,77,1113.3,2294,2285,98.7,-0.3,-2.4,+.009,-0.2,-5.4,+.058,+.009,+3.2,+1.7,+.077,+2.4,"('derozde01', 'millspa02')"
37,M. Beasley | J. Hart,LAL,2018-19,20,119.6,249,250,100.1,+6.6,-4.4,+.092,-6.4,-20.3,+.001,+.060,-4.3,-0.7,-.175,+2.4,"('beaslmi01', 'hartjo01')"
38,J. Brown | G. Yabusele,BOS,2018-19,19,123.0,253,254,99.0,+6.5,+0.7,+.069,+2.8,+4.5,+.031,+.084,-13.3,-15.7,-.089,+2.4,"('brownja02', 'yabusgu01')"
39,C. Metu | Q. Pondexter,SAS,2018-19,27,119.3,252,246,100.2,-2.5,-4.5,-.006,-6.2,-23.6,+.054,-0.040,+13.7,+13.6,+.137,+2.4,"('metuch01', 'pondequ01')"
40,F. Kaminsky | J. Lamb,CHO,2018-19,37,466.6,974,940,98.4,-2.0,0.0,-.022,-1.1,+0.8,-.042,-0.028,+7.5,+8.2,+.045,+2.4,"('kaminfr01', 'lambje01')"
41,S. Curry | J. Layman,POR,2018-19,45,443.9,898,896,97.0,+2.2,+0.1,+.024,0.0,-0.6,+.006,+.024,-2.0,-3.5,+.032,+2.4,"('curryse01', 'laymaja01')"
44,M. Harrell | M. Teodosić,LAC,2018-19,14,130.8,279,277,102.0,0.0,-5.3,+.031,+4.2,-0.9,+.154,+.060,-2.0,-0.2,-.066,+2.4,"('harremo01', 'teodomi01')"
45,L. Deng | G. Dieng,MIN,2018-19,13,100.9,206,206,98.0,0.0,+3.4,-.017,-4.4,-11.7,+.006,-0.044,+6.8,+9.7,-.050,+2.4,"('denglu01', 'dienggo01')"
46,H. Barnes | D. Fox,SAC,2018-19,28,791.7,1728,1722,104.6,+1.4,+2.3,+.003,-0.6,-6.7,+.058,-0.002,+0.3,+1.8,-.047,+2.4,"('barneha02', 'foxde01')"
47,A. Baynes | M. Morris,BOS,2018-19,42,400.1,832,832,99.8,+2.8,+7.8,-.010,-0.4,+1.7,-.031,-0.018,-2.9,-6.6,+.110,+2.3,"('baynear01', 'morrima03')"
48,J. Brown | A. Horford,BOS,2018-19,62,808.3,1650,1674,98.7,+2.0,-0.9,+.027,+0.8,-0.2,+.026,+.032,-2.5,-2.9,-.012,+2.3,"('brownja02', 'horfoal01')"
49,J. Lamb | K. Walker,CHO,2018-19,79,1817.0,3707,3695,97.8,-0.5,+1.5,-.013,-0.2,-0.4,-.001,-0.015,+3.5,+3.2,+.045,+2.3,"('lambje01', 'walkeke02')"
50,K. Anderson | G. Temple,MEM,2018-19,41,942.4,1863,1856,94.7,+1.4,-1.2,+.023,-0.6,-1.9,+.002,+.020,+0.1,-1.1,+.043,+2.3,"('anderky01', 'templga01')"
51,M. Conley | J. Jackson,MEM,2018-19,56,1162.4,2269,2257,93.5,+3.1,+1.8,+.026,-1.3,-4.1,+.003,+.017,-2.5,-3.0,-.009,+2.3,"('conlemi01', 'jacksja02')"
52,B. Adebayo | R. McGruder,MIA,2018-19,62,540.8,1099,1112,98.1,+1.9,+0.5,+.019,-0.4,-0.4,-.009,+.017,-1.1,-0.2,-.038,+2.3,"('adebaba01', 'mcgruro01')"
53,D. Finney-Smith | D. Jordan,DAL,2018-19,48,586.9,1220,1208,99.3,-1.7,-3.1,-.004,+2.8,+4.4,+.039,+.015,+2.9,+6.8,-.090,+2.3,"('finnedo01', 'jordade01')"
54,J. Crowder | D. Exum,UTA,2018-19,38,363.5,760,748,99.6,-1.4,-0.6,-.014,+0.2,+3.8,-.032,-0.012,+4.9,+4.5,+.060,+2.3,"('crowdja01', 'exumda01')"
55,D. Exum | D. Mitchell,UTA,2018-19,34,226.9,472,470,99.6,+1.7,+6.2,-.012,+0.6,+7.3,-.055,-0.013,-1.8,-1.6,-.027,+2.3,"('exumda01', 'mitchdo01')"
56,D. DeRozan | R. Gay,SAS,2018-19,64,1284.0,2583,2577,96.4,+2.1,0.0,+.023,-2.7,-11.1,+.055,+.008,+0.8,-0.6,+.065,+2.3,"('derozde01', 'gayru01')"
57,L. Ball | L. James,LAL,2018-19,34,821.7,1760,1745,102.4,+1.3,-6.0,+.046,-1.5,-2.7,-.018,+.041,+1.2,+5.8,-.156,+2.3,"('balllo01', 'jamesle01')"
58,T. Maker | T. Snell,MIL,2018-19,32,234.7,495,503,102.1,+3.0,-4.0,+.055,+1.4,-0.4,+.041,+.066,-5.2,-3.7,-.130,+2.3,"('makerth01', 'snellto01')"
59,L. Ball | T. Chandler,LAL,2018-19,35,379.0,816,813,103.2,-0.5,-7.6,+.033,-1.0,-0.9,-.022,+.033,+4.4,+9.6,-.113,+2.3,"('balllo01', 'chandty01')"
60,R. Covington | A. Wiggins,MIN,2018-19,22,481.4,971,977,97.1,+0.2,-0.6,+.005,-2.1,-7.0,+.019,-0.007,+4.1,+5.6,-.004,+2.3,"('covinro01', 'wiggian01')"
61,R. Gobert | K. Korver,UTA,2018-19,53,519.3,1093,1085,100.7,-1.0,-1.8,-.002,+2.7,+10.3,-.037,+.014,+1.7,+3.3,-.040,+2.3,"('goberru01', 'korveky01')"
62,B. Beal | S. Dekker,WAS,2018-19,36,261.4,554,552,101.5,+1.8,-2.9,+.036,-1.1,-2.8,-.003,+.031,-0.2,+2.6,-.107,+2.3,"('bealbr01', 'dekkesa01')"
63,A. Rivers | P. Tucker,HOU,2018-19,46,780.7,1583,1583,97.3,-4.2,-2.3,-.035,+6.7,+16.8,+.027,+.005,+4.0,+6.2,-.035,+2.3,"('riverau01', 'tuckepj01')"
66,B. Caboclo | D. Wright,MEM,2018-19,25,418.2,852,860,98.2,+0.7,-0.6,+.011,0.0,-1.0,+.010,+.011,+0.9,+1.2,-.001,+2.3,"('cabocbr01', 'wrighde01')"
67,A. Drummond | L. Galloway,DET,2018-19,76,936.0,1911,1892,97.5,-0.7,+3.9,-.028,+3.2,+7.0,+.027,-0.013,+0.4,+1.1,-.018,+2.2,"('drumman01', 'gallola01')"
68,J. Ennis | C. Paul,HOU,2018-19,24,417.1,824,828,95.1,-1.3,+0.3,-.016,+3.9,+12.9,-.018,+.006,+0.8,-0.4,+.049,+2.2,"('ennisja01', 'paulch01')"
69,D. Gallinari | L. Williams,LAC,2018-19,62,687.6,1465,1410,100.3,-2.8,-5.0,-.006,-1.0,-4.0,+.016,-0.008,+8.8,+8.6,+.063,+2.2,"('gallida01', 'willilo02')"
70,D. Augustin | A. Gordon,ORL,2018-19,77,1708.4,3439,3413,96.3,+0.3,-0.6,+.007,+0.6,+1.8,-.002,+.011,+1.0,+1.3,-.001,+2.2,"('augusdj01', 'gordoaa01')"
71,D. Nwaba | A. Žižić,CLE,2018-19,34,275.4,548,553,96.0,+0.2,-0.5,+.004,-2.8,-8.1,-.007,-0.011,+4.7,+5.5,+.025,+2.2,"('nwabada01', 'zizican01')"
72,B. Beal | A. Rivers,WAS,2018-19,29,345.8,721,717,99.8,+3.3,-0.5,+.040,+1.1,-0.3,+.035,+.047,-5.4,-6.4,-.022,+2.2,"('bealbr01', 'riverau01')"
73,F. Korkmaz | M. Muscala,PHI,2018-19,33,267.0,574,572,103.0,-0.5,-0.3,-.004,+3.6,+9.0,+.018,+.018,-0.4,+0.4,-.025,+2.2,"('korkmfu01', 'muscami01')"
74,T. Chandler | J. Hart,LAL,2018-19,42,429.4,915,922,102.7,+0.6,-3.1,+.022,+1.0,+1.6,+.013,+.030,0.0,+3.6,-.105,+2.2,"('chandty01', 'hartjo01')"
75,D. Carroll | R. Kurucs,BRK,2018-19,51,407.5,883,874,103.5,-0.7,-3.5,+.009,+0.9,+0.5,+.023,+.017,+2.8,+4.0,-.008,+2.2,"('carrode01', 'kurucro01')"
76,K. Faried | A. Rivers,HOU,2018-19,24,344.7,720,726,100.7,-2.8,+2.7,-.046,+5.2,+15.1,+.003,-0.019,+2.6,+4.3,-.025,+2.2,"('farieke01', 'riverau01')"
77,J. Noah | D. Wright,MEM,2018-19,16,259.8,540,548,100.5,+1.5,+3.3,.000,-1.3,-1.9,-.022,-0.010,+0.5,-0.9,+.045,+2.2,"('noahjo01', 'wrighde01')"
78,J. Embiid | D. Šarić,PHI,2018-19,13,286.5,604,603,101.1,-0.9,-6.9,+.024,-0.7,-3.0,+.011,+.025,+4.6,+6.1,-.005,+2.1,"('embiijo01', 'saricda01')"
79,K. Walker | C. Zeller,CHO,2018-19,49,1144.0,2356,2353,98.8,+0.3,+1.4,-.004,+0.2,-0.8,+.014,-0.003,+1.3,+0.2,+.056,+2.1,"('walkeke02', 'zelleco01')"
80,C. Joseph | M. Turner,IND,2018-19,73,758.0,1540,1543,97.6,+0.1,-1.6,+.009,-2.4,-6.5,-.001,-0.003,+4.4,+5.5,+.010,+2.1,"('josepco01', 'turnemy01')"
81,K. Bazemore | A. Poythress,ATL,2018-19,19,145.2,302,318,102.5,-0.2,+1.6,-.011,+2.6,+3.5,+.039,+.003,-0.1,-2.8,+.066,+2.1,"('bazemke01', 'poythal01')"
82,J. Barea | D. Powell,DAL,2018-19,35,491.8,1021,1022,99.7,-0.5,+1.8,-.016,+0.7,+7.6,-.057,-0.013,+2.5,+4.1,-.026,+2.1,"('bareajo01', 'poweldw01')"
83,N. Bjelica | B. Hield,SAC,2018-19,77,1376.3,2960,2944,103.0,+1.1,+2.6,-.001,+0.7,-2.3,+.050,+.001,-0.9,+0.5,-.060,+2.1,"('bjeline01', 'hieldbu01')"
84,J. McRae | T. Satoranský,WAS,2018-19,18,109.8,236,237,103.4,-4.1,-2.2,-.035,-0.4,-0.7,-.005,-0.036,+10.6,+12.8,+.036,+2.1,"('mcraejo01', 'satorto01')"
85,J. Smith | T. Thompson,CLE,2018-19,9,117.9,237,237,96.5,+2.1,+3.8,+.004,+0.4,-7.2,+.114,+.004,-2.5,-4.6,+.042,+2.1,"('smithjr01', 'thomptr01')"
88,G. Clark | E. Gordon,HOU,2018-19,26,223.8,447,443,95.5,-4.9,-2.8,-.039,+7.1,+21.2,+.003,+.002,+4.8,+5.4,+.024,+2.1,"('clarkga01', 'gordoer01')"
89,J. Layman | E. Turner,POR,2018-19,41,398.7,813,821,98.4,+3.6,+0.5,+.037,+2.1,+1.8,+.046,+.048,-7.2,-7.7,-.046,+2.1,"('laymaja01', 'turneev01')"
90,J. Adams | A. Len,ATL,2018-19,27,219.7,475,476,103.9,+3.7,+8.2,-.002,+7.6,+11.0,+.084,+.033,-12.8,-14.0,-.124,+2.1,"('adamsja01', 'lenal01')"
91,C. Brewer | H. Giles,SAC,2018-19,12,126.4,266,271,102.0,+3.0,+6.9,-.002,-4.7,-7.7,-.072,-0.032,+0.8,-4.3,+.144,+2.1,"('breweco01', 'gilesha01')"
92,J. Brown | T. Rozier,BOS,2018-19,71,1008.3,2067,2090,98.9,+1.5,+2.6,+.004,+1.1,+1.1,+.022,+.008,-2.2,-2.7,.000,+2.0,"('brownja02', 'roziete01')"
93,J. Dudley | D. Russell,BRK,2018-19,57,779.5,1587,1576,97.4,+0.2,-0.2,+.003,+3.6,+8.3,+.021,+.023,-2.1,-2.2,-.019,+2.0,"('dudleja01', 'russeda01')"
94,L. Galloway | Z. Pachulia,DET,2018-19,63,546.9,1094,1101,96.3,-1.0,+3.6,-.029,+3.9,+9.6,+.017,-0.010,+0.1,-1.6,+.056,+2.0,"('gallola01', 'pachuza01')"
95,L. James | J. McGee,LAL,2018-19,50,908.5,1950,1935,102.6,+2.3,-4.0,+.047,-3.3,-6.6,-.035,+.032,+0.6,+3.6,-.109,+2.0,"('jamesle01', 'mcgeeja01')"
96,T. Craig | J. Murray,DEN,2018-19,63,873.5,1733,1759,95.9,+2.1,+3.3,+.006,-1.6,-2.2,-.024,-0.005,-0.6,-1.3,+.020,+2.0,"('craigto01', 'murraja01')"
97,J. Blossomgame | L. Nance,CLE,2018-19,16,175.7,346,343,94.1,-2.4,-1.1,-.021,+1.4,+4.1,+.002,-0.013,+5.4,+5.9,+.056,+2.0,"('blossja01', 'nancela02')"
98,K. Olynyk | D. Waiters,MIA,2018-19,41,735.0,1478,1475,96.4,+2.7,+1.1,+.024,-0.2,-1.4,+.007,+.022,-3.1,-1.9,-.091,+2.0,"('olynyke01', 'waitedi01')"
99,T. Harris | J. Redick,PHI,2018-19,26,586.0,1279,1261,104.0,-1.6,-7.0,+.019,-1.3,-3.1,-.008,+.016,+6.5,+8.5,+.002,+2.0,"('harrito02', 'redicjj01')"
100,G. Temple | L. Williams,LAC,2018-19,24,348.6,763,759,104.8,+0.1,-3.6,+.020,-2.5,-8.2,+.007,+.007,+4.5,+4.2,+.039,+2.0,"('templga01', 'willilo02')"
101,B. Caboclo | T. Dorsey,MEM,2018-19,17,249.7,518,519,99.7,+0.1,+0.2,.000,-0.9,-1.1,-.016,-0.005,+2.7,+4.7,-.040,+2.0,"('cabocbr01', 'dorsety01')"
102,M. Bridges | R. Spalding,PHO,2018-19,12,98.0,208,210,102.3,+5.2,+3.2,+.042,-2.3,-0.7,-.064,+.026,-6.0,-10.3,+.083,+2.0,"('bridgmi01', 'spaldra01')"
103,J. Lamb | M. Williams,CHO,2018-19,72,1338.1,2717,2693,97.0,-0.4,+1.4,-.012,+0.1,+0.8,-.004,-0.012,+2.6,+2.2,+.043,+1.9,"('lambje01', 'willima02')"
104,A. Bradley | L. Williams,LAC,2018-19,42,396.0,854,827,101.9,-0.5,-8.9,+.039,+0.3,-6.9,+.087,+.046,+2.7,+2.9,+.012,+1.9,"('bradlav01', 'willilo02')"
105,J. Hernangómez | M. Morris,DEN,2018-19,64,688.3,1397,1384,97.0,+2.1,+5.2,-.002,+0.8,+0.9,+.017,.000,-3.3,-3.0,-.043,+1.9,"('hernaju01', 'morrimo01')"
106,T. Lyles | M. Plumlee,DEN,2018-19,56,675.3,1359,1351,96.3,+3.2,+2.6,+.023,-0.7,-3.4,+.013,+.017,-3.8,-1.8,-.115,+1.9,"('lylestr01', 'plumlma01')"
107,D. Jones | H. Whiteside,MIA,2018-19,45,301.2,606,614,97.2,+2.8,+4.5,+.009,-2.0,-9.9,+.048,-0.004,-1.7,+1.8,-.124,+1.9,"('jonesde02', 'whiteha01')"
0,D. Bacon | F. Kaminsky,CHO,2018-19,30,292.5,603,578,96.9,-0.6,-1.8,+.003,-1.3,-2.5,-.008,-0.003,+4.4,+6.0,-.015,+1.9,"('bacondw01', 'kaminfr01')"
1,J. Ingles | E. Udoh,UTA,2018-19,23,102.8,215,219,101.3,-1.6,-11.8,+.045,+6.6,+7.5,+.143,+.092,-1.5,-7.4,+.174,+1.9,"('inglejo01', 'udohek01')"
2,I. Clark | K. Williams,NOP,2018-19,28,330.3,697,697,101.3,+0.3,-0.9,+.008,+2.3,+3.2,+.037,+.021,-1.0,-0.6,-.031,+1.9,"('clarkia01', 'willike04')"
3,J. Jerebko | D. Lee,GSW,2018-19,24,167.2,342,349,99.2,+0.2,-3.7,+.021,+0.5,+2.7,-.014,+.026,+0.9,+1.6,-.012,+1.9,"('jerebjo01', 'leeda03')"
4,J. Crowder | K. Korver,UTA,2018-19,53,776.2,1650,1634,101.5,-2.0,-4.9,+.002,+3.0,+9.4,-.011,+.022,+3.0,+3.9,.000,+1.9,"('crowdja01', 'korveky01')"
5,E. İlyasova | D. Wilson,MIL,2018-19,35,255.0,533,543,101.3,+1.6,+8.0,-.018,-0.1,+5.4,-.048,-0.025,-1.2,-3.2,+.058,+1.9,"('ilyaser01', 'wilsodj01')"
6,J. Carter | J. Holiday,MEM,2018-19,25,190.0,372,375,94.4,+4.1,+7.1,+.011,+2.2,+3.5,+.029,+.018,-8.4,-10.2,-.015,+1.9,"('carteje01', 'holidju01')"
7,Q. Cook | A. Iguodala,GSW,2018-19,50,393.1,758,757,92.5,-0.8,-4.5,+.014,+0.2,+2.1,-.018,+.019,+3.3,+2.9,+.048,+1.8,"('cookqu01', 'iguodan01')"
8,D. Collison | T. Young,IND,2018-19,75,1715.5,3456,3444,96.5,+1.7,+0.6,+.016,-1.9,-6.3,+.017,+.005,+0.3,+0.1,+.011,+1.8,"('collida01', 'youngth01')"
9,G. Dragić | D. Wade,MIA,2018-19,31,494.3,1042,1028,100.5,+3.0,+2.2,+.023,-3.0,-6.4,-.023,+.005,-1.3,-2.0,+.008,+1.8,"('dragigo01', 'wadedw01')"
10,J. Brunson | M. Kleber,DAL,2018-19,59,751.4,1537,1530,98.0,-0.7,-1.1,-.003,+1.7,+6.5,-.011,+.008,+1.5,+3.5,-.051,+1.8,"('brunsja01', 'klebima01')"
11,G. Dieng | T. Gibson,MIN,2018-19,31,108.7,237,233,103.8,+3.6,+6.6,+.004,-3.6,-10.2,+.012,-0.020,-1.7,-4.8,+.075,+1.8,"('dienggo01', 'gibsota01')"
12,D. Rose | K. Towns,MIN,2018-19,48,874.0,1847,1824,100.8,+0.8,-1.0,+.014,-3.6,-5.8,-.048,-0.005,+3.8,+3.7,+.039,+1.8,"('rosede01', 'townska01')"
13,D. Green | J. Jerebko,GSW,2018-19,41,310.8,650,640,99.6,-0.3,-2.5,+.009,+0.4,+3.3,-.023,+.014,+2.1,+3.6,-.040,+1.8,"('greendr01', 'jerebjo01')"
14,J. Isaac | T. Ross,ORL,2018-19,71,746.0,1501,1534,97.6,+2.4,+6.3,-.005,+0.5,+0.8,+.005,-0.007,-3.5,-5.3,+.028,+1.8,"('isaacjo01', 'rosste01')"
15,B. Hield | K. Koufos,SAC,2018-19,36,219.8,463,479,102.8,+3.7,+10.3,-.009,+1.9,+1.4,+.042,-0.006,-7.5,-8.0,-.068,+1.8,"('hieldbu01', 'koufoko01')"
16,R. Covington | J. Teague,MIN,2018-19,14,330.2,668,669,97.2,+0.1,+0.7,-.003,-1.9,-7.1,+.020,-0.014,+3.6,+4.5,+.003,+1.8,"('covinro01', 'teaguje01')"
17,S. Brown | K. Middleton,MIL,2018-19,45,474.2,1017,1023,103.3,+0.8,-4.3,+.031,-1.3,-3.0,-.004,+.028,+1.5,+0.4,+.053,+1.8,"('brownst02', 'middlkh01')"
18,A. Bradley | J. Valančiūnas,MEM,2018-19,12,251.4,518,512,98.3,+3.2,-1.0,+.043,-4.0,-6.2,-.055,+.020,-0.6,-2.8,+.065,+1.8,"('bradlav01', 'valanjo01')"
19,D. Jones | J. Richardson,MIA,2018-19,51,604.8,1192,1209,95.3,+2.1,+6.9,-.009,-0.5,-2.3,+.009,-0.017,-2.1,-0.8,-.066,+1.7,"('jonesde02', 'richajo01')"
22,Z. LaVine | R. Lopez,CHI,2018-19,54,887.5,1839,1807,98.6,+0.2,-5.1,+.029,-1.9,-8.4,+.038,+.022,+3.1,+2.9,+.041,+1.7,"('lavinza01', 'lopezro01')"
23,K. Birch | J. Grant,ORL,2018-19,23,170.9,346,344,96.9,-0.2,-0.8,+.001,+2.3,-0.5,+.081,+.015,-0.1,-0.7,+.017,+1.7,"('birchkh01', 'grantje02')"
24,G. Dragić | J. Winslow,MIA,2018-19,21,275.1,590,578,101.9,-0.7,-1.5,.000,-0.4,-1.6,+.007,-0.001,+3.4,+5.9,-.046,+1.7,"('dragigo01', 'winslju01')"
25,K. Caldwell-Pope | A. Caruso,LAL,2018-19,24,318.9,660,665,99.7,+2.4,+0.4,+.025,-1.7,-8.0,+.025,+.015,-1.4,-0.4,-.042,+1.7,"('caldwke01', 'carusal01')"
26,P. Gasol | D. White,SAS,2018-19,12,96.2,193,198,97.5,-1.0,-8.4,+.030,-3.9,-15.2,+.073,+.014,+7.6,+7.7,+.082,+1.7,"('gasolpa01', 'whitede01')"
27,J. Richardson | D. Waiters,MIA,2018-19,33,572.9,1149,1154,96.5,+3.7,+2.6,+.028,-0.7,-3.3,+.013,+.022,-5.1,-3.6,-.115,+1.7,"('richajo01', 'waitedi01')"
28,C. Miles | C. Parsons,MEM,2018-19,10,116.2,239,241,99.1,+1.1,-2.6,+.026,-2.4,-8.0,+.017,+.014,+1.8,+2.3,+.002,+1.7,"('milescj01', 'parsoch01')"
29,J. Grant | N. Noel,OKC,2018-19,63,298.0,636,639,102.7,+1.4,+4.0,-.003,-1.1,-0.3,-.030,-0.012,-0.2,+0.3,-.019,+1.6,"('grantje01', 'noelne01')"
30,D. Green | D. Jones,GSW,2018-19,13,177.2,363,369,99.2,+5.9,-4.0,+.091,-1.7,-7.9,+.032,+.085,-8.5,-11.2,+.004,+1.6,"('greendr01', 'jonesda03')"
31,M. Monk | M. Williams,CHO,2018-19,59,417.1,858,846,98.1,-1.5,-0.8,-.013,+3.2,+6.2,+.035,+.006,+1.4,+2.1,-.012,+1.6,"('monkma01', 'willima02')"
32,A. Bradley | M. Harrell,LAC,2018-19,49,561.5,1168,1171,100.0,+0.3,-6.9,+.039,-0.5,-9.2,+.101,+.040,+1.5,+2.0,.000,+1.6,"('bradlav01', 'harremo01')"
33,I. Clark | J. Holiday,NOP,2018-19,37,285.3,624,620,104.6,+2.6,+4.1,+.009,-1.0,+1.7,-.049,+.001,-2.7,-4.2,+.021,+1.6,"('clarkia01', 'holidjr01')"
34,A. Davis | T. Frazier,NOP,2018-19,34,461.7,980,986,102.2,-0.1,+0.8,-.006,-1.0,-3.3,+.006,-0.012,+2.9,+0.4,+.109,+1.6,"('davisan02', 'fraziti01')"
35,D. Waiters | J. Winslow,MIA,2018-19,30,513.3,1036,1030,96.6,+3.5,+3.9,+.019,-0.6,-3.1,+.018,+.013,-4.9,-3.2,-.122,+1.6,"('waitedi01', 'winslju01')"
36,J. Green | M. Harrell,LAC,2018-19,24,369.9,807,816,105.3,+2.8,-0.9,+.037,-3.6,-7.5,-.040,+.016,-0.4,-0.2,-.008,+1.6,"('greenja01', 'harremo01')"
37,J. Brown | K. Irving,BOS,2018-19,59,902.3,1915,1910,101.7,+1.3,+1.9,+.004,+0.5,+0.8,+.006,+.006,-1.5,-2.1,+.006,+1.5,"('brownja02', 'irvinky01')"
38,L. Galloway | R. Jackson,DET,2018-19,72,605.2,1248,1227,98.1,-2.3,+4.3,-.049,+1.9,+6.1,-.006,-0.041,+4.2,+4.5,+.031,+1.5,"('gallola01', 'jacksre01')"
39,D. Gallinari | M. Harrell,LAC,2018-19,68,740.0,1524,1532,99.1,-1.8,-5.4,+.008,-1.3,-7.3,+.056,+.005,+6.4,+7.3,+.022,+1.5,"('gallida01', 'harremo01')"
40,T. Burke | N. Vonleh,NYK,2018-19,30,231.9,475,473,98.1,-0.4,-0.4,-.002,-0.9,-3.3,+.007,-0.007,+3.1,+2.2,+.063,+1.5,"('burketr01', 'vonleno01')"
41,W. Cauley-Stein | D. Fox,SAC,2018-19,80,1930.7,4184,4159,103.7,+1.4,+2.4,+.003,0.0,-3.9,+.046,+.002,-1.3,+0.1,-.064,+1.5,"('caulewi01', 'foxde01')"
44,D. Fox | I. Shumpert,SAC,2018-19,42,962.0,2070,2081,103.6,+2.4,+5.6,-.002,+1.4,-0.7,+.054,+.002,-4.8,-5.0,-.048,+1.5,"('foxde01', 'shumpim01')"
45,K. Irving | S. Ojeleye,BOS,2018-19,25,113.5,229,238,98.7,+1.5,+7.3,-.018,+2.5,+2.7,+.049,-0.009,-3.9,-7.6,+.110,+1.5,"('irvinky01', 'ojelese01')"
46,R. Hood | D. Nwaba,CLE,2018-19,18,148.3,280,281,90.8,+3.0,+4.3,+.010,-3.9,-15.6,+.063,-0.013,-0.7,-1.3,+.018,+1.5,"('hoodro01', 'nwabada01')"
47,J. Jackson | K. Koufos,SAC,2018-19,29,261.2,553,565,102.7,+2.7,+4.6,+.006,+1.5,-0.4,+.049,+.011,-5.4,-4.1,-.099,+1.5,"('jacksju01', 'koufoko01')"
48,T. Frazier | D. Miller,NOP,2018-19,40,422.1,886,885,100.7,+1.4,-3.7,+.035,+0.9,-2.0,+.051,+.043,-2.3,-4.9,+.058,+1.5,"('fraziti01', 'milleda01')"
49,T. Jones | D. Šarić,MIN,2018-19,53,848.2,1761,1767,99.8,-0.6,-0.3,-.005,-2.8,-3.2,-.054,-0.020,+5.5,+5.9,+.047,+1.5,"('jonesty01', 'saricda01')"
50,M. Conley | J. Noah,MEM,2018-19,38,325.2,646,659,96.3,+3.4,+7.1,+.002,-3.0,-9.8,-.001,-0.019,-2.3,-2.0,-.024,+1.5,"('conlemi01', 'noahjo01')"
51,J. Carter | Y. Watanabe,MEM,2018-19,13,116.7,239,234,97.3,-1.7,+0.7,-.022,-2.0,-4.2,-.013,-0.034,+6.8,+9.3,-.015,+1.5,"('carteje01', 'watanyu01')"
52,D. Cousins | A. Iguodala,GSW,2018-19,25,224.4,422,416,89.6,+1.8,-8.0,+.062,-2.1,-3.8,-.021,+.056,0.0,+1.4,-.053,+1.5,"('couside01', 'iguodan01')"
53,L. Deng | T. Gibson,MIN,2018-19,14,108.2,219,221,97.6,+4.5,+5.8,+.020,-0.4,-2.0,+.010,+.015,-7.1,-4.3,-.143,+1.5,"('denglu01', 'gibsota01')"
