,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
89,R. Lopez | C. McCollum,POR,2014-15,34,246.5,478,484,93.7,+5.7,-1.1,+.065,+4.9,+11.9,+.001,+.092,-1.7,-5.8,+.153,+14.6,"('lopezro01', 'mccolcj01')"
90,K. Middleton | Z. Pachulia,MIL,2014-15,69,1228.4,2422,2392,94.1,+6.5,+5.7,+.045,-0.3,-5.9,+.090,+.040,+1.9,+1.3,+.042,+14.6,"('middlkh01', 'pachuza01')"
91,J. Adams | J. Leuer,MEM,2014-15,19,120.8,234,233,92.8,+8.0,-0.8,+.094,+0.8,-7.8,+.156,+.099,-2.2,-2.3,-.020,+14.5,"('adamsjo01', 'leuerjo01')"
92,B. Griffin | J. Redick,LAC,2014-15,64,1744.8,3481,3455,95.4,+4.7,+0.8,+.050,+2.8,+3.7,+.055,+.065,+2.2,+4.4,-.041,+14.5,"('griffbl01', 'redicjj01')"
93,M. Barnes | D. Jordan,LAC,2014-15,76,1990.6,3920,3953,94.9,+6.1,+2.0,+.058,+1.8,+1.7,+.042,+.067,+0.4,+2.8,-.062,+14.4,"('barnema02', 'jordade01')"
94,L. Allen | C. Watson,IND,2014-15,32,330.1,656,655,95.3,+5.9,+8.0,+.029,+3.0,+5.2,+.056,+.042,-0.5,-1.9,+.035,+14.3,"('allenla01', 'watsocj01')"
95,J. Dudley | K. Marshall,MIL,2014-15,23,241.0,461,457,91.4,+5.5,-1.4,+.073,+0.8,-3.5,+.085,+.078,+2.3,+1.1,+.066,+14.3,"('dudleja01', 'marshke01')"
96,L. Deng | J. Ennis,MIA,2014-15,32,243.0,472,471,93.1,+9.5,+6.8,+.073,+0.8,+2.1,+.007,+.074,-5.6,-6.0,-.037,+14.2,"('denglu01', 'ennisja01')"
97,M. Dellavedova | I. Shumpert,CLE,2014-15,38,464.5,865,877,90.0,+3.5,+0.8,+.036,+7.9,+11.2,+.142,+.080,-0.8,-1.0,-.002,+14.2,"('dellama01', 'shumpim01')"
98,M. Barnes | C. Paul,LAC,2014-15,76,2048.2,4073,4086,95.6,+5.9,+1.4,+.060,+1.5,+1.3,+.038,+.067,+0.8,+3.2,-.059,+14.1,"('barnema02', 'paulch01')"
